names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
CTNNAL1,2.58E-10,1.97E-48,3.55E-48,1.43E-60,2.16E-17,0.993329593,0.083996648
CTNNB1,0.000254312,0.000240127,2.29E-07,1.99E-09,1,0.602069526,0.52782317
CTNNBIP1,4.80E-07,0.320195177,0.43946636,8.08E-08,0.000264542,0.9647109,2.00E-09
CTNNBL1,4.76E-10,0.000120461,0.000889119,0.460462022,0.047928604,0.909429794,0.021175712
CTNND1,0.536519582,0.390197701,0.469433032,0.007210963,0.8679921,0,0.050698922
CTNS,3.44E-09,1.65E-07,9.93E-10,0.96225314,0.634054807,0.804582239,2.66E-09
CTPS1,3.83E-105,2.41E-116,1.25E-109,3.34E-53,0.387380162,0.860480992,3.52E-11
CTPS2,5.83E-05,0.5960241,0.855506611,0.108184949,0.001809809,0.936935556,0.101941997
CTR9,1.22E-34,1.12E-21,8.51E-17,2.93E-05,0.02173294,0.700896009,0.00015875
CTRL,1.51E-11,2.72E-19,4.99E-26,6.36E-57,0.06368836,0.554517439,2.95E-08
CTSA,8.20E-08,0.001386972,0.001346357,0.220457208,0.074743942,0.9999128,1.72E-05
CTSB,0.000821684,0.003594213,0.067784209,4.65E-05,0.770544174,0.753388159,0.050839372
CTSC,1.28E-05,1.30E-29,8.30E-27,2.35E-14,5.45E-11,0.892544707,0.005465974
CTSD,0.781839351,0.012265006,0.000461148,0.004688181,0.059547811,0.783629375,0.623537444
CTSF,6.08E-49,3.27E-49,1.21E-48,3.94E-35,0.90633071,0.974731806,0.010471321
CTSG,0.001634812,0.000794245,0.002685538,0.054368019,0.897833336,0,0.326418649
CTSH,0.00088777,0.000993039,0.08892156,0.083484356,0.981191544,0.553335986,0.00098971
CTSK,3.11E-27,1.67E-23,2.50E-26,4.13E-21,0.497121972,0.84870518,0.250048056
CTSL,8.70E-05,0.174449287,0.439483525,0.003176412,0.025459124,0.885818636,0.000328798
CTSO,0.106797419,2.87E-05,7.74E-07,1.12E-06,0.031359817,0.840485671,0.968110932
CTSS,3.18E-10,8.37E-16,9.51E-16,0.000108295,0.168448828,0.997296932,0.000162874
CTSV,0.738083256,0.022840829,0.002381222,1.02E-05,0.014874588,0,0.055641199
CTSW,1.31E-44,2.23E-12,1.36E-08,0.001433485,5.77E-11,0.662331911,0.031692229
CTSZ,0.028970415,3.81E-07,5.14E-10,1.04E-13,0.012692603,0.732972339,0.316964513
CTTN,8.71E-08,0.000130921,0.000250284,0.165011545,0.228337264,0.974398971,0.047168712
CTTNBP2NL,0.002466147,1.91E-06,7.69E-07,3.03E-10,0.024051622,0.951115561,0.042268478
CTU1,2.84E-15,3.37E-17,2.18E-16,1.61E-12,0.712554984,0.964736892,0.349121866
CTU2,1.52E-31,1.01E-24,9.24E-22,0.009314923,0.265586011,0.862663113,2.99E-11
CTXN1,5.96E-05,5.68E-05,0.000809612,0.006578774,1,0,0.398693779
CUBN,3.68E-46,5.06E-59,9.48E-60,4.84E-60,1.41E-06,0.972512011,0.065306294
CUEDC1,0.758913215,0.345768778,0.388908241,0.957572199,0.63757616,0,0.493893526
CUEDC2,7.22E-10,1.49E-14,6.77E-18,3.93E-27,0.235926295,0.79468511,0.058348523
CUL1,0.013611735,0.056014817,0.421579978,0.353678049,0.698021763,0.735794669,0.11054694
CUL2,8.50E-19,2.13E-20,3.27E-16,0.02348242,0.796171491,0.751450473,2.71E-08
CUL3,4.01E-05,0.031811302,0.359309749,6.79E-05,0.111180818,0.694684052,2.22E-06
CUL4A,4.73E-14,3.64E-17,9.26E-17,0.000564055,0.53212589,0.980169675,7.63E-06
CUL4B,3.61E-33,2.20E-33,4.61E-25,0.697602233,0.976470088,0.514211894,6.62E-22
CUL5,0.728830782,0.245868562,0.037916923,1.63E-07,0.544637564,0.79468511,0.004474463
CUL7,1.10E-07,0.015403194,0.002196987,1.33E-07,0.013116846,0.876444991,0.053760198
CUL9,7.73E-22,3.39E-23,1.08E-19,3.39E-07,0.844836993,0.821871959,0.00033057
CUTA,1.32E-42,1.68E-17,1.18E-17,1.42E-08,2.67E-06,0.995331219,0.011308086
CUTALP,0.914617726,0.306742719,0.730082093,0.831524969,0.355841527,0.85486911,0.924826273
CUTC,0.286732088,0.927461401,0.422407642,0.056515865,0.336266682,0.835255026,0.01001678
CUX1,7.35E-35,2.18E-55,9.70E-49,4.81E-50,0.003255401,0.775765547,0.890127577
CUX2,2.72E-07,9.94E-07,0.000835205,0.934568746,0.829612812,0.452780487,0.002314573
CWC15,8.73E-05,2.82E-17,3.17E-20,2.54E-37,5.18E-05,0.841319826,0.001294909
CWC22,3.04E-09,2.36E-06,0.001918789,0.000546002,0.362150437,0.549075827,0.797600532
CWC25,0.204377545,0.000120345,2.25E-07,5.89E-12,0.030698377,0.6647771,0.154472018
CWC27,0.001205305,0.089521874,0.009138216,5.79E-05,0.220118629,0.796049506,0.242203369
CWF19L1,0.007217626,0.034108333,3.46E-05,3.34E-13,0.691202365,0.390053217,0.004845488
CWF19L2,0.596246552,0.021757385,0.06082301,0.521882049,0.150482413,0.930463815,0.017826728
CX3CR1,0.491252212,0.067384264,0.048464132,0.03974344,0.370988905,0,0.9567121
CXADR,0.00093543,0.004218464,0.020160584,0.000988985,0.758232451,0.897605821,0.431261456
CXCL10,1.31E-12,4.10E-06,2.59E-07,0.003498851,0.001339469,0.831985364,0.006655626
CXCL11,8.60E-09,0.007031501,0.00200145,0.124379503,0.000142925,0.911605791,0.128233887
CXCL13,0.026665473,0.234496629,0.048609681,0.572205921,0.42404387,0.82653553,0.243256701
CXCL16,1.78E-27,1.34E-20,2.09E-18,1.70E-07,0.183827631,0.892544707,0.001261432
CXCL5,0.062087213,0.062443821,0.041054561,0.039755224,0.99201697,0.974398971,0
CXCL8,0.821706982,0.022342842,0.018203698,0.003426201,0.024935737,0.986468716,0.654618681
CXCL9,1.24E-11,5.53E-09,5.03E-08,0.000256153,0.227370086,0.8866521,0.016951148
CXCR2,0.44244464,0.063758326,0.21748296,0.000499032,0.37759366,0,0.029967123
CXCR3,5.16E-32,2.59E-40,3.90E-24,1.60E-18,0.23656822,0.077675981,0.273958532
CXCR4,2.04E-95,7.07E-94,1.60E-78,8.39E-24,0.913977029,0.469076525,1.51E-16
CXCR5,0.969233255,0.073966427,0.781795608,0.397076404,0.142213816,0.568809234,0.653819216
CXCR6,0.573439293,0.596231226,0.209635937,0.027354941,0.351404508,0.835776297,0.000830783
CXorf38,0.002713943,0.004476032,0.001068139,0.474858555,0.917117183,0.929840733,0.000132883
CXorf65,1.64E-16,2.83E-38,8.23E-44,1.01E-32,3.27E-06,0.729046829,0.032321846
CXXC1,0.001575824,0.402195234,0.755396883,0.177555202,0.049184191,0.89951458,0.130453459
CXXC5,0.004582928,0.000317228,0.000950856,0.002335694,0.581823212,0.949366005,0.853673941
CYB561,0.120000496,0.032933446,4.57E-05,2.71E-15,0.00053794,0.416247056,0.000230919
CYB561A3,0.564552533,6.26E-06,1.56E-10,0.365749844,1.23E-06,0.451262998,8.06E-13
CYB561D1,0.37163126,0.000172066,4.89E-06,7.01E-15,0.013963967,0.827067387,0.00380957
CYB561D2,0.014536579,0.710076728,0.576080873,0.00110338,0.076948355,0.970296377,0.000231962
CYB5A,7.29E-46,1.58E-49,1.03E-61,1.04E-58,0.666482414,0.42591597,0.751160909
CYB5B,9.28E-56,3.99E-85,1.97E-86,6.60E-80,0.000646133,0.974731806,0.564454639
CYB5D1,2.56E-06,7.48E-06,0.001632389,0.867514968,0.883299791,0.660854893,0.001787852
CYB5D2,0.003476613,1.60E-09,1.59E-07,4.51E-07,0.005359501,0.823450891,0.889495102
CYB5R1,0.001795633,0.00042033,0.004909469,3.22E-07,7.66E-11,0.851604473,0.043929597
